person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,cb_person_cred_hist_length,credit_score,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,previous_loan_defaults_on_file,loan_status,rate_x_pct_income,loan_burden,has_prev_defaults
22.0,female,Master,71948.0,0,RENT,3.0,561,24000.0,PERSONAL,16.02,0.49,No,1,7.8498,0.387,0
21.0,female,High School,28366.7,0,OWN,2.0,504,2000.0,EDUCATION,11.14,0.08,Yes,0,0.8912,0.0784,1
25.0,female,High School,28366.7,3,MORTGAGE,3.0,635,5500.0,MEDICAL,12.87,0.44,No,1,5.6628,0.2188,0
23.0,female,Bachelor,79753.0,0,RENT,2.0,675,24000.0,MEDICAL,15.23,0.44,No,1,6.7012,0.3468,0
24.0,male,Master,66135.0,1,RENT,4.0,586,24000.0,MEDICAL,14.27,0.53,No,1,7.5631,0.4147,0
21.0,female,High School,28366.7,0,OWN,2.0,532,2500.0,VENTURE,7.14,0.19,No,1,1.3566,0.0944,0
26.0,female,Bachelor,93471.0,1,RENT,3.0,701,24000.0,EDUCATION,12.42,0.37,No,1,4.5954,0.2887,0
24.0,female,High School,95550.0,5,RENT,4.0,585,24000.0,MEDICAL,11.11,0.37,No,1,4.1107,0.2791,0
24.0,female,Associate,100684.0,3,RENT,2.0,544,24000.0,PERSONAL,8.9,0.35,No,1,3.115,0.2596,0
21.0,female,High School,28366.7,0,OWN,3.0,640,2000.0,VENTURE,14.74,0.13,No,1,1.9162,0.0809,0
22.0,female,High School,102985.0,0,RENT,4.0,621,24000.0,VENTURE,10.37,0.34,No,1,3.5258,0.2572,0
21.0,female,Associate,28366.7,0,OWN,2.0,651,4500.0,HOMEIMPROVEMENT,8.63,0.34,No,1,2.9342,0.1723,0
23.0,male,Bachelor,114860.0,3,RENT,2.0,573,24000.0,VENTURE,7.9,0.3,No,1,2.37,0.2255,0
26.0,male,Master,130713.0,0,RENT,4.0,708,24000.0,EDUCATION,18.39,0.27,No,1,4.9653,0.2174,0
23.0,female,Associate,138998.0,0,RENT,4.0,583,24000.0,EDUCATION,7.9,0.25,No,0,1.975,0.1863,0
