id,person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,cb_person_cred_hist_length,credit_score
1,22.0,female,Master,71948.0,0,RENT,3.0,561
2,21.0,female,High School,12282.0,0,OWN,2.0,504
3,25.0,female,High School,12438.0,3,MORTGAGE,3.0,635
4,23.0,female,Bachelor,79753.0,0,RENT,2.0,675
5,24.0,male,Master,66135.0,1,RENT,4.0,586
6,21.0,female,High School,12951.0,0,OWN,2.0,532
7,26.0,female,Bachelor,93471.0,1,RENT,3.0,701
8,24.0,female,High School,95550.0,5,RENT,4.0,585
9,24.0,female,Associate,100684.0,3,RENT,2.0,544
10,21.0,female,High School,12739.0,0,OWN,3.0,640
11,22.0,female,High School,102985.0,0,RENT,4.0,621
12,21.0,female,Associate,13113.0,0,OWN,2.0,651
13,23.0,male,Bachelor,114860.0,3,RENT,2.0,573
14,26.0,male,Master,130713.0,0,RENT,4.0,708
15,23.0,female,Associate,138998.0,0,RENT,4.0,583
16,23.0,female,Master,600891.0,5,MORTGAGE,3.0,670
17,23.0,male,Bachelor,144943.0,0,RENT,4.0,663
18,23.0,female,High School,111369.0,0,RENT,4.0,694
19,23.0,male,Bachelor,136628.0,0,RENT,4.0,709
20,24.0,female,Master,14283.0,1,MORTGAGE,2.0,679
21,25.0,male,Bachelor,195718.0,0,RENT,4.0,684
22,25.0,male,High School,165792.0,4,RENT,2.0,662
23,22.0,female,Master,79255.0,0,RENT,4.0,691
24,24.0,female,Bachelor,13866.0,0,OWN,3.0,600
25,22.0,male,Bachelor,97420.0,1,RENT,4.0,691
26,24.0,female,High School,82443.0,0,RENT,3.0,654
27,21.0,female,Associate,14288.0,0,MORTGAGE,3.0,626
28,23.0,male,High School,14293.0,0,OWN,3.0,607
29,24.0,female,Bachelor,79054.0,1,RENT,3.0,700
30,21.0,female,Bachelor,14988.0,0,OTHER,2.0,553
31,21.0,male,High School,14858.0,0,OWN,3.0,589
32,25.0,male,Bachelor,144855.0,1,RENT,2.0,586
33,26.0,male,Bachelor,114645.0,2,RENT,3.0,681
34,25.0,female,High School,368115.0,3,RENT,3.0,567
35,26.0,female,Associate,361076.0,1,MORTGAGE,4.0,669
36,21.0,male,Associate,15150.0,0,OWN,4.0,600
37,22.0,female,Bachelor,58868.0,0,RENT,2.0,606
38,24.0,male,High School,78026.0,3,RENT,3.0,582
39,25.0,male,Bachelor,90785.0,4,RENT,4.0,649
40,23.0,female,High School,86811.0,0,RENT,4.0,602
41,26.0,male,Bachelor,75503.0,5,RENT,2.0,616
42,24.0,female,High School,15082.0,0,OWN,3.0,631
43,26.0,male,Bachelor,361293.0,5,MORTGAGE,4.0,684
44,23.0,male,High School,361547.0,0,OWN,2.0,637
45,26.0,male,Master,360680.0,5,OWN,4.0,649
46,26.0,male,Bachelor,360977.0,5,MORTGAGE,3.0,695
47,25.0,female,Bachelor,361244.0,2,MORTGAGE,3.0,620
48,26.0,male,Bachelor,98230.0,2,RENT,3.0,622
49,22.0,female,High School,80838.0,0,RENT,3.0,645
50,26.0,male,Master,107957.0,2,RENT,3.0,654
51,24.0,female,Bachelor,94649.0,2,RENT,4.0,624
52,23.0,male,High School,94550.0,1,RENT,3.0,570
53,23.0,male,Bachelor,111153.0,3,RENT,3.0,648
54,23.0,female,Associate,117250.0,0,RENT,2.0,652
55,25.0,male,Bachelor,144985.0,3,RENT,4.0,559
56,26.0,male,High School,337133.0,7,RENT,3.0,623
57,26.0,male,Associate,333566.0,2,RENT,3.0,602
58,23.0,male,Bachelor,333399.0,1,OWN,4.0,609
59,25.0,male,Master,154793.0,1,RENT,4.0,573
60,24.0,male,Associate,15229.0,1,OWN,3.0,631
61,21.0,female,Bachelor,158338.0,0,RENT,4.0,623
62,22.0,female,Bachelor,331034.0,0,OWN,2.0,602
63,26.0,female,High School,316466.0,6,MORTGAGE,4.0,579
64,25.0,female,Associate,267671.0,0,MORTGAGE,2.0,582
65,22.0,male,Master,85191.0,0,RENT,3.0,700
66,22.0,male,Associate,15013.0,0,MORTGAGE,3.0,688
67,26.0,male,Bachelor,313100.0,3,OWN,3.0,607
68,25.0,female,Bachelor,311952.0,0,MORTGAGE,2.0,661
69,24.0,male,High School,306897.0,5,MORTGAGE,2.0,562
70,25.0,female,Bachelor,301136.0,0,RENT,4.0,664
71,25.0,male,High School,15162.0,1,OWN,3.0,564
72,22.0,male,Associate,69042.0,0,RENT,2.0,598
73,21.0,female,High School,15307.0,0,OWN,3.0,557
74,23.0,female,Associate,79183.0,0,RENT,2.0,677
75,26.0,male,Bachelor,102654.0,4,RENT,3.0,690
76,26.0,male,Associate,15229.0,1,OWN,3.0,599
77,22.0,male,High School,106566.0,0,RENT,3.0,604
78,21.0,female,Bachelor,15252.0,0,OWN,4.0,663
79,22.0,male,Bachelor,15432.0,3,OWN,2.0,601
80,24.0,male,High School,100332.0,1,RENT,4.0,634
81,24.0,male,Bachelor,300951.0,2,RENT,3.0,671
82,25.0,female,Bachelor,121062.0,1,RENT,3.0,622
83,26.0,male,Associate,133372.0,1,RENT,2.0,538
84,26.0,male,Bachelor,15505.0,0,OWN,4.0,587
85,22.0,male,Master,130852.0,0,RENT,4.0,683
86,23.0,male,Associate,182316.0,0,RENT,2.0,634
87,24.0,female,Bachelor,83853.0,3,RENT,2.0,690
88,21.0,female,Bachelor,15394.0,0,MORTGAGE,3.0,518
89,22.0,female,Bachelor,85243.0,0,RENT,3.0,583
90,22.0,male,Associate,288907.0,2,OWN,2.0,617
91,26.0,male,Associate,89074.0,4,RENT,2.0,668
92,24.0,male,Master,100509.0,2,RENT,2.0,673
93,24.0,male,High School,88950.0,3,RENT,3.0,706
94,23.0,female,High School,75894.0,1,RENT,2.0,536
95,23.0,male,Associate,145092.0,0,RENT,3.0,557
96,24.0,female,Bachelor,15928.0,1,OWN,3.0,689
97,22.0,male,Bachelor,73131.0,3,RENT,3.0,681
98,25.0,male,Master,281501.0,4,MORTGAGE,4.0,623
99,24.0,female,Associate,281775.0,0,OWN,4.0,595
100,26.0,male,Bachelor,281792.0,1,MORTGAGE,3.0,584
101,25.0,male,Bachelor,266090.0,4,MORTGAGE,3.0,669
102,26.0,male,High School,279664.0,3,MORTGAGE,2.0,642
103,25.0,female,High School,277017.0,4,MORTGAGE,4.0,622
104,23.0,male,Associate,100756.0,0,RENT,3.0,689
105,22.0,male,High School,16218.0,1,MORTGAGE,4.0,614
106,25.0,female,Bachelor,16211.0,2,OWN,3.0,597
107,21.0,female,Bachelor,51922.0,3,RENT,3.0,673
108,24.0,male,Associate,50309.0,3,RENT,3.0,625
109,25.0,male,High School,16378.0,0,OWN,4.0,603
110,24.0,male,Bachelor,16572.0,0,MORTGAGE,3.0,589
111,26.0,male,Master,272201.0,5,MORTGAGE,4.0,670
112,25.0,female,Bachelor,271324.0,3,MORTGAGE,2.0,637
113,26.0,male,Associate,256862.0,2,MORTGAGE,2.0,643
114,24.0,male,High School,271342.0,0,RENT,4.0,508
115,24.0,male,High School,16470.0,2,MORTGAGE,4.0,643
116,23.0,male,High School,16599.0,0,OWN,2.0,505
117,22.0,male,Bachelor,51608.0,0,RENT,2.0,593
118,26.0,female,Master,58516.0,6,RENT,4.0,686
119,25.0,female,Associate,16395.0,4,OWN,3.0,646
120,22.0,female,Bachelor,16890.0,0,OWN,3.0,645
121,25.0,female,Associate,51747.0,3,RENT,3.0,697
122,21.0,male,High School,59864.0,0,RENT,2.0,648
123,25.0,male,Master,270972.0,1,MORTGAGE,2.0,640
124,26.0,male,Bachelor,270870.0,5,RENT,4.0,681
125,23.0,female,Associate,270729.0,0,RENT,2.0,646
126,26.0,male,Bachelor,270877.0,4,MORTGAGE,2.0,615
127,22.0,male,Associate,60501.0,0,RENT,3.0,687
128,23.0,male,High School,60754.0,1,RENT,3.0,650
129,25.0,male,Bachelor,60829.0,0,RENT,2.0,588
130,24.0,male,Bachelor,53825.0,2,RENT,2.0,652
131,23.0,male,High School,60801.0,0,RENT,4.0,658
132,22.0,male,High School,60747.0,0,RENT,2.0,634
133,22.0,female,High School,61029.0,0,RENT,3.0,623
134,22.0,female,Associate,63236.0,0,RENT,4.0,635
135,23.0,female,Bachelor,17149.0,0,OWN,4.0,531
136,24.0,female,Master,265066.0,4,MORTGAGE,2.0,665
137,23.0,male,Associate,260205.0,2,MORTGAGE,3.0,703
138,25.0,female,Associate,260035.0,5,MORTGAGE,3.0,585
139,26.0,female,Bachelor,260444.0,4,MORTGAGE,2.0,594
140,23.0,male,Bachelor,258980.0,0,MORTGAGE,3.0,618
141,26.0,male,High School,259081.0,2,MORTGAGE,2.0,626
142,23.0,male,High School,63497.0,0,RENT,2.0,695
143,26.0,female,Doctorate,56325.0,2,RENT,4.0,690
144,22.0,male,Bachelor,64842.0,0,RENT,4.0,574
145,26.0,female,High School,57856.0,0,RENT,2.0,602
146,23.0,male,Associate,57318.0,0,RENT,2.0,679
147,23.0,female,High School,16916.0,2,MORTGAGE,4.0,615
148,21.0,male,Master,16664.0,0,OWN,4.0,601
149,22.0,male,Associate,252803.0,0,MORTGAGE,4.0,577
150,26.0,female,Associate,253061.0,3,OWN,4.0,588
151,26.0,male,Bachelor,58602.0,8,RENT,2.0,595
152,22.0,male,High School,67012.0,2,RENT,4.0,653
153,24.0,female,Master,66643.0,3,RENT,4.0,663
154,23.0,male,Bachelor,66599.0,0,RENT,3.0,653
155,23.0,male,Associate,67212.0,2,RENT,3.0,598
156,24.0,female,High School,66918.0,1,RENT,4.0,630
157,26.0,male,Associate,68066.0,2,RENT,2.0,637
158,24.0,male,Associate,245545.0,1,OWN,3.0,660
159,23.0,male,Associate,229083.0,0,MORTGAGE,3.0,639
160,23.0,male,High School,17859.0,0,OWN,4.0,626
161,24.0,female,Associate,72608.0,3,RENT,3.0,612
162,24.0,male,Bachelor,73073.0,1,RENT,3.0,628
163,26.0,female,Master,65880.0,2,RENT,2.0,592
164,23.0,male,High School,17755.0,1,OWN,3.0,580
165,24.0,male,Bachelor,241180.0,3,RENT,2.0,634
166,24.0,male,Associate,240894.0,3,MORTGAGE,2.0,678
167,21.0,male,High School,240980.0,0,MORTGAGE,4.0,557
168,25.0,male,Bachelor,65742.0,3,RENT,4.0,672
169,23.0,male,Bachelor,72713.0,0,RENT,3.0,613
170,23.0,male,High School,72627.0,3,RENT,4.0,566
171,21.0,male,Associate,72843.0,0,RENT,4.0,718
172,25.0,male,High School,75504.0,4,RENT,2.0,484
173,22.0,female,High School,68824.0,0,RENT,3.0,634
174,23.0,female,Bachelor,241167.0,2,MORTGAGE,2.0,653
175,21.0,male,Bachelor,241060.0,0,MORTGAGE,2.0,699
176,24.0,male,High School,240855.0,0,MORTGAGE,4.0,656
177,26.0,male,High School,241030.0,3,MORTGAGE,3.0,626
178,25.0,male,High School,240895.0,2,MORTGAGE,2.0,659
179,24.0,female,High School,240932.0,4,RENT,4.0,604
180,24.0,male,Associate,80145.0,1,RENT,2.0,636
181,22.0,male,Master,80303.0,0,RENT,3.0,554
182,22.0,male,High School,241048.0,0,MORTGAGE,4.0,587
183,25.0,male,Bachelor,241005.0,4,RENT,3.0,708
184,25.0,female,Master,240768.0,2,MORTGAGE,2.0,669
185,25.0,male,Associate,241201.0,2,MORTGAGE,3.0,578
186,24.0,male,Bachelor,240920.0,5,MORTGAGE,3.0,615
187,24.0,female,Master,72919.0,1,RENT,2.0,553
188,21.0,male,Master,18008.0,0,OWN,4.0,635
189,26.0,female,Associate,81238.0,3,RENT,2.0,531
190,23.0,male,High School,80868.0,1,RENT,4.0,621
191,24.0,male,Bachelor,81537.0,1,RENT,3.0,674
192,24.0,female,Associate,82741.0,0,RENT,3.0,688
193,25.0,female,High School,83901.0,3,RENT,2.0,597
194,25.0,male,Associate,240717.0,1,MORTGAGE,3.0,640
195,26.0,female,Associate,226744.0,0,MORTGAGE,2.0,621
196,26.0,female,Bachelor,241114.0,5,MORTGAGE,3.0,608
197,25.0,male,Bachelor,85284.0,3,RENT,3.0,653
198,22.0,female,Bachelor,18152.0,0,OWN,3.0,585
199,24.0,female,High School,84871.0,3,RENT,4.0,569
200,24.0,male,Bachelor,18294.0,2,OWN,3.0,587
201,24.0,male,Bachelor,68029.0,1,RENT,4.0,631
202,25.0,female,High School,80001.0,4,RENT,2.0,592
203,26.0,female,High School,79875.0,6,RENT,4.0,679
204,25.0,male,High School,18449.0,1,OWN,2.0,645
205,25.0,male,Associate,88153.0,0,RENT,2.0,669
206,23.0,female,Bachelor,90109.0,0,RENT,3.0,653
207,25.0,male,Bachelor,90938.0,1,RENT,2.0,577
208,24.0,male,High School,231335.0,0,RENT,2.0,668
209,21.0,male,Bachelor,231829.0,0,MORTGAGE,4.0,629
210,25.0,female,Associate,230516.0,4,MORTGAGE,4.0,643
211,26.0,male,Bachelor,229626.0,0,MORTGAGE,3.0,626
212,22.0,male,Bachelor,228907.0,0,MORTGAGE,3.0,560
213,24.0,male,Bachelor,90938.0,0,RENT,4.0,648
214,22.0,male,Associate,86284.0,0,RENT,4.0,648
215,26.0,male,Associate,228774.0,3,MORTGAGE,4.0,669
216,23.0,male,High School,229027.0,2,OWN,3.0,536
217,23.0,male,High School,94789.0,1,RENT,2.0,548
218,23.0,female,Master,94780.0,0,RENT,3.0,667
219,23.0,male,High School,95298.0,0,RENT,3.0,676
220,25.0,male,Associate,223944.0,1,OWN,4.0,570
221,24.0,male,High School,222629.0,0,MORTGAGE,2.0,623
222,25.0,female,Bachelor,222973.0,2,RENT,2.0,652
223,24.0,female,High School,75240.0,1,RENT,2.0,625
224,23.0,female,High School,96143.0,1,RENT,2.0,642
225,21.0,male,Bachelor,18064.0,0,OWN,2.0,580
226,24.0,male,Associate,96627.0,2,RENT,2.0,622
227,24.0,male,Bachelor,96309.0,3,RENT,4.0,581
228,21.0,female,High School,18421.0,1,MORTGAGE,4.0,623
229,24.0,male,Master,96836.0,1,RENT,2.0,583
230,26.0,male,Bachelor,96947.0,4,RENT,4.0,645
231,22.0,female,Associate,222975.0,2,RENT,2.0,593
232,26.0,male,Associate,222985.0,3,OWN,2.0,659
233,24.0,female,Bachelor,223064.0,0,RENT,4.0,655
234,23.0,male,Associate,221559.0,2,OWN,2.0,583
235,24.0,female,Associate,207712.0,0,MORTGAGE,4.0,582
236,24.0,female,Bachelor,220872.0,1,MORTGAGE,3.0,504
237,22.0,male,High School,220518.0,0,MORTGAGE,2.0,551
238,25.0,female,Associate,220510.0,1,MORTGAGE,3.0,529
239,23.0,female,Bachelor,89818.0,0,RENT,4.0,674
240,26.0,female,High School,90006.0,4,RENT,4.0,595
241,25.0,female,High School,98704.0,6,RENT,3.0,597
242,23.0,male,High School,98967.0,5,RENT,3.0,566
243,24.0,male,High School,99435.0,3,RENT,2.0,666
244,24.0,female,Bachelor,100658.0,1,RENT,3.0,695
245,24.0,female,Bachelor,100435.0,2,RENT,3.0,576
246,24.0,male,High School,216925.0,5,RENT,4.0,651
247,23.0,female,Bachelor,216891.0,0,MORTGAGE,3.0,633
248,23.0,male,Master,18512.0,1,OWN,2.0,566
249,22.0,male,Master,18367.0,0,OWN,4.0,583
250,22.0,female,Associate,102317.0,0,RENT,4.0,586
251,24.0,female,Associate,103400.0,4,RENT,4.0,592
252,24.0,male,Bachelor,217134.0,2,MORTGAGE,2.0,598
253,26.0,male,Master,217024.0,1,MORTGAGE,4.0,637
254,25.0,female,High School,172215.0,5,MORTGAGE,4.0,628
255,23.0,male,Master,18831.0,0,MORTGAGE,4.0,667
256,24.0,male,Associate,105349.0,5,RENT,3.0,621
